,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kaitangata,9,NZ,1619245895,74,-46.2817,169.8464,50.0,1.99
1,Shumskiy,100,RU,1619245896,87,54.8318,99.1328,35.38,4.68
2,Airai,86,TL,1619245896,74,-8.9266,125.4092,67.59,2.91
3,Cape Town,0,ZA,1619245896,82,-33.9258,18.4232,63.0,9.22
4,Kapaa,90,US,1619245897,73,22.0752,-159.319,75.2,16.11
5,Saldanha,72,ZA,1619245897,87,-33.0117,17.9442,53.6,2.3
6,Ostrovnoy,100,RU,1619245656,96,68.0531,39.5131,33.62,19.26
7,Vao,93,NC,1619245607,71,-22.6667,167.4833,75.96,13.13
8,Mossendjo,100,CG,1619245898,96,-2.9506,12.7261,72.05,1.34
9,Kahului,1,US,1619245697,78,20.8947,-156.47,73.4,13.8
10,Lebu,12,CL,1619245899,87,-37.6167,-73.65,51.71,10.09
11,Bluff,7,NZ,1619245899,86,-46.6,168.3333,48.99,1.01
12,Gravelbourg,100,CA,1619245899,39,49.8834,-106.5512,26.6,3.44
13,Viedma,5,AR,1619245900,58,-40.8135,-62.9967,55.85,12.59
14,Jamestown,1,US,1619245900,56,42.097,-79.2353,42.8,10.36
15,Vysokogornyy,67,RU,1619245901,77,50.1167,139.15,35.06,7.09
16,Klaksvík,94,FO,1619245901,100,62.2266,-6.589,44.6,3.44
17,Pisco,0,PE,1619245902,88,-13.7,-76.2167,64.4,5.75
18,Burgeo,100,CA,1619245902,95,47.6167,-57.6152,35.64,18.01
19,Saint-Philippe,0,RE,1619245902,74,-21.3585,55.7679,82.0,24.16
20,Busselton,5,AU,1619245903,45,-33.65,115.3333,81.0,4.0
21,‘Ewa Beach,1,US,1619245903,64,21.3156,-158.0072,75.2,5.75
22,Atuona,2,PF,1619245904,76,-9.8,-139.0333,80.19,19.17
23,Baykit,96,RU,1619245904,83,61.67,96.37,39.85,0.83
24,Hobart,40,AU,1619245904,51,-42.8794,147.3294,60.8,13.8
25,Punta Arenas,75,CL,1619245819,93,-53.15,-70.9167,46.4,4.61
26,Fairbanks,1,US,1619245858,45,64.8378,-147.7164,44.6,8.05
27,Rikitea,100,PF,1619245905,79,-23.1203,-134.9692,77.72,15.32
28,Itarema,75,BR,1619245700,89,-2.9248,-39.9167,76.42,8.23
29,Antalaha,37,MG,1619245906,64,-14.9003,50.2788,83.07,9.84
30,Cayenne,75,GF,1619245906,94,4.9333,-52.3333,77.0,4.61
31,Mazagão,75,BR,1619245907,94,-0.115,-51.2894,78.8,2.3
32,San Blas,78,MX,1619245907,69,21.5167,-105.2667,68.74,3.94
33,Ignalina,97,LT,1619245907,60,55.35,26.1667,38.43,11.03
34,Amapá,100,BR,1619245908,99,1.0,-52.0,70.75,1.32
35,Asău,0,RO,1619245908,81,46.4333,26.4,45.0,3.44
36,Longyearbyen,75,SJ,1619245747,68,78.2186,15.6401,24.8,11.5
37,Ushuaia,75,AR,1619245909,93,-54.8,-68.3,41.0,3.44
38,Guiratinga,2,BR,1619245909,62,-16.3494,-53.7583,64.35,3.15
39,Tiksi,100,RU,1619245910,84,71.6872,128.8694,22.86,22.44
40,San Angelo,1,US,1619245654,14,31.4638,-100.437,69.01,13.8
41,Hilo,90,US,1619245807,78,19.7297,-155.09,71.6,8.05
42,Albany,1,US,1619245637,57,42.6001,-73.9662,45.0,10.36
43,Teya,100,RU,1619245911,65,60.3778,92.6267,44.62,3.8
44,Souillac,75,MU,1619245662,94,-20.5167,57.5167,78.8,14.97
45,Yar-Sale,100,RU,1619245911,100,66.8333,70.8333,33.35,7.0
46,Zhezkazgan,100,KZ,1619245711,25,47.8043,67.7144,46.4,29.08
47,Tiarei,75,PF,1619245705,83,-17.5333,-149.3333,78.8,5.75
48,Hofn,100,IS,1619245912,73,64.2539,-15.2082,45.52,2.48
49,Kishapu,11,TZ,1619245912,61,-3.6167,33.8667,75.65,11.18
50,Mar del Plata,90,AR,1619245913,100,-38.0023,-57.5575,62.01,4.61
51,Salalah,0,OM,1619245913,58,17.0151,54.0924,86.85,11.32
52,Lima,75,PE,1619245913,88,-12.0432,-77.0282,64.4,8.05
53,Chokurdakh,26,RU,1619245636,89,70.6333,147.9167,9.91,2.1
54,Ancud,35,CL,1619245667,94,-41.8697,-73.8203,48.0,4.5
55,Bethel,1,US,1619245914,65,41.3712,-73.414,48.0,4.61
56,Pangnirtung,100,CA,1619245641,82,66.1451,-65.7125,27.54,7.31
57,Dicabisagan,7,PH,1619245915,64,17.0818,122.4157,84.24,9.15
58,Mataura,8,NZ,1619245916,86,-46.1927,168.8643,48.99,1.01
59,Portland,75,US,1619245669,66,45.5234,-122.6762,54.0,4.61
